报告年份,原始文件,年度文件内行号,段内对齐序号,全局对齐序号,中文,英文,中文句数,英文句数,对齐类型,对齐成本,中文字符数,英文词数,英中长度比例,是否需要人工复核,问题类型,清洗说明,原始中文,原始英文,中文清洗动作,英文清洗动作
2025,02_report_2025.csv,6,8,20,单位国内生产总值能耗降幅超过3%；可再生能源新增装机3.7亿千瓦。,"Energy consumption per unit of GDP dropped by more than 3 percent, and installed renewable energy capacity grew by 370 million kilowatts.",2,1,2-1,0.2408,33,20,0.6061,False,,无需自动清洗 | 无需自动清洗,单位国内生产总值能耗降幅超过3%；可再生能源新增装机3.7亿千瓦。,"Energy consumption per unit of GDP dropped by more than 3 percent, and installed renewable energy capacity grew by 370 million kilowatts.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,6,10,22,制造业领域外资准入限制措施全部取消，共建“一带一路”贸易投资合作不断扩容升级。,"All market access restrictions on foreign investment in the manufacturing sector were lifted, and trade and investment cooperation under the Belt and Road Initiative was steadily expanded and upgraded.",1,1,1-1,0.1137,39,29,0.7436,False,,无需自动清洗 | 无需自动清洗,制造业领域外资准入限制措施全部取消，共建“一带一路”贸易投资合作不断扩容升级。,"All market access restrictions on foreign investment in the manufacturing sector were lifted, and trade and investment cooperation under the Belt and Road Initiative was steadily expanded and upgraded.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,7,1,23,回顾过去一年，成绩来之不易。,Our achievements in 2024 did not come easily.,1,1,1-1,0.4754,14,7,0.5,False,,无需自动清洗 | 无需自动清洗,回顾过去一年，成绩来之不易。,Our achievements in 2024 did not come easily.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,7,2,24,外部环境变化带来的不利影响持续加深，国内长期积累的一些深层次结构性矛盾集中显现，内需不振、预期偏弱等问题交织叠加，局部地区洪涝等自然灾害频发，保持经济社会平稳运行的难度加大。,"The adverse impact of changes in the international environment increased, and some deep-seated structural problems that had been building up in the country for years came to a head. Sluggish domestic demand was compounded by weak public expectations along with other issues, and natural disasters like floods occurred frequently in some parts of China.",1,2,1-2,0.4091,87,54,0.6207,False,,无需自动清洗 | 无需自动清洗,外部环境变化带来的不利影响持续加深，国内长期积累的一些深层次结构性矛盾集中显现，内需不振、预期偏弱等问题交织叠加，局部地区洪涝等自然灾害频发，保持经济社会平稳运行的难度加大。,"The adverse impact of changes in the international environment increased, and some deep-seated structural problems that had been building up in the country for years came to a head. Sluggish domestic demand was compounded by weak public expectations along with other issues, and natural disasters like floods occurred frequently in some parts of China.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,7,3,25,面对多重困难挑战，我们加力实施存量政策，适时优化宏观调控，积极有效应对。,"All this added to the difficulty of maintaining economic and social stability. However, we responded to this array of difficulties and challenges with both active and effective steps: We redoubled efforts to implement adopted policies and improved macro regulation in a timely manner.",1,2,1-2,0.5455,36,43,1.1944,False,,无需自动清洗 | 无需自动清洗,面对多重困难挑战，我们加力实施存量政策，适时优化宏观调控，积极有效应对。,"All this added to the difficulty of maintaining economic and social stability. However, we responded to this array of difficulties and challenges with both active and effective steps: We redoubled efforts to implement adopted policies and improved macro regulation in a timely manner.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,7,4,26,特别是坚决贯彻落实9月26日中央政治局会议果断部署的一揽子增量政策，推动经济明显回升，社会信心有效提振，既促进了全年目标实现，也为今年发展奠定了良好基础。,"In particular, we took firm actions to implement a package of new policies that was decided on by the Political Bureau of the Central Committee at a meeting on September 26. This led to a notable rebound in the economy and effectively boosted public confidence, ensuring the fulfillment of our goals for 2024 and laying a good foundation for development in 2025.",1,2,1-2,0.1985,77,59,0.7662,False,,无需自动清洗 | 无需自动清洗,特别是坚决贯彻落实9月26日中央政治局会议果断部署的一揽子增量政策，推动经济明显回升，社会信心有效提振，既促进了全年目标实现，也为今年发展奠定了良好基础。,"In particular, we took firm actions to implement a package of new policies that was decided on by the Political Bureau of the Central Committee at a meeting on September 26. This led to a notable rebound in the economy and effectively boosted public confidence, ensuring the fulfillment of our goals for 2024 and laying a good foundation for development in 2025.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,7,5,27,在这个过程中，我们深化了对经济工作的规律性认识，进一步认识到党中央集中统一领导是做好经济工作的根本保证，必须统筹好有效市场和有为政府、总供给和总需求、培育新动能和更新旧动能、做优增量和盘活存量、提升质量和做大总量的关系。,"In the course of this, we deepened our understanding of the laws governing economic work and became more keenly aware that the centralized, unified leadership of the Party Central Committee is essential to doing our economic work well. It is also clear that we must properly handle the relationships between an efficient market and a well-functioning government, between aggregate supply and demand, between fostering new growth drivers and upgrading old ones, between optimizing allocation of new resources and making the best use of existing ones, and between enhancing quality and expanding total output.",1,2,1-2,0.1999,110,93,0.8455,False,,无需自动清洗 | 无需自动清洗,在这个过程中，我们深化了对经济工作的规律性认识，进一步认识到党中央集中统一领导是做好经济工作的根本保证，必须统筹好有效市场和有为政府、总供给和总需求、培育新动能和更新旧动能、做优增量和盘活存量、提升质量和做大总量的关系。,"In the course of this, we deepened our understanding of the laws governing economic work and became more keenly aware that the centralized, unified leadership of the Party Central Committee is essential to doing our economic work well. It is also clear that we must properly handle the relationships between an efficient market and a well-functioning government, between aggregate supply and demand, between fostering new growth drivers and upgrading old ones, between optimizing allocation of new resources and making the best use of existing ones, and between enhancing quality and expanding total output.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,7,6,28,实践再次表明，在以习近平同志为核心的党中央坚强领导下，全国上下聚力攻坚，我国发展没有闯不过的难关。,"What we have achieved once again proves that under the strong leadership of the CPC Central Committee with Comrade Xi Jinping at its core and with the dedicated efforts of our people across the country, we can prevail over any difficulty in pursuing development.",1,1,1-1,0.1102,49,44,0.898,False,,无需自动清洗 | 无需自动清洗,实践再次表明，在以习近平同志为核心的党中央坚强领导下，全国上下聚力攻坚，我国发展没有闯不过的难关。,"What we have achieved once again proves that under the strong leadership of the CPC Central Committee with Comrade Xi Jinping at its core and with the dedicated efforts of our people across the country, we can prevail over any difficulty in pursuing development.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,8,1,29,一年来，我们深入学习贯彻习近平新时代中国特色社会主义思想，坚定维护以习近平同志为核心的党中央权威和集中统一领导，把党的领导贯穿政府工作各方面全过程，全面贯彻落实党的二十大和二十届二中、三中全会精神，按照党中央决策部署，主要做了以下工作。,"Last year, we continued to deepen our understanding of and apply Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era, firmly upheld the authority of the CPC Central Committee with Comrade Xi Jinping at its core and its centralized, unified leadership, followed Party leadership in every aspect and throughout the process of government work, and fully implemented the guiding principles from the 20th CPC National Congress and the second and third plenary sessions of the 20th CPC Central Committee. Acting on the decisions and plans of the Party Central Committee, we mainly did the following work:",1,2,1-2,0.15,118,99,0.839,False,,无需自动清洗 | 无需自动清洗,一年来，我们深入学习贯彻习近平新时代中国特色社会主义思想，坚定维护以习近平同志为核心的党中央权威和集中统一领导，把党的领导贯穿政府工作各方面全过程，全面贯彻落实党的二十大和二十届二中、三中全会精神，按照党中央决策部署，主要做了以下工作。,"Last year, we continued to deepen our understanding of and apply Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era, firmly upheld the authority of the CPC Central Committee with Comrade Xi Jinping at its core and its centralized, unified leadership, followed Party leadership in every aspect and throughout the process of government work, and fully implemented the guiding principles from the 20th CPC National Congress and the second and third plenary sessions of the 20th CPC Central Committee. Acting on the decisions and plans of the Party Central Committee, we mainly did the following work:",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,10,1,30,二是坚定不移全面深化改革扩大开放，增强发展内生动力。,2. We deepened reform and opening up comprehensively with unswerving commitment and boosted the internal momentum of development.,1,2,1-2,0.2806,26,17,0.6538,False,,无需自动清洗 | 无需自动清洗,二是坚定不移全面深化改革扩大开放，增强发展内生动力。,2. We deepened reform and opening up comprehensively with unswerving commitment and boosted the internal momentum of development.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,10,2,31,清理废除妨碍全国统一市场的规定做法，制定实施公平竞争审查条例，出台规范地方招商引资的措施。,"We overhauled and abolished regulations and practices impeding the development of a unified national market, formulated and implemented regulations on fair competition review, and adopted measures to regulate steps taken by local governments to attract investment.",1,1,1-1,0.0712,45,36,0.8,False,,无需自动清洗 | 无需自动清洗,清理废除妨碍全国统一市场的规定做法，制定实施公平竞争审查条例，出台规范地方招商引资的措施。,"We overhauled and abolished regulations and practices impeding the development of a unified national market, formulated and implemented regulations on fair competition review, and adopted measures to regulate steps taken by local governments to attract investment.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,10,3,32,深化国有企业改革，持续优化国有经济布局。,We further reformed state-owned enterprises (SOEs) and continued to improve the layout of the state-owned sector.,1,1,1-1,0.0712,20,16,0.8,False,,无需自动清洗 | 无需自动清洗,深化国有企业改革，持续优化国有经济布局。,We further reformed state-owned enterprises (SOEs) and continued to improve the layout of the state-owned sector.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,10,4,33,提请全国人大常委会审议民营经济促进法草案，改善民营经济发展环境。积极拓展外贸新增长点，进出口结构不断优化，外贸出口对经济增长贡献增大。,We submitted a draft of the private sector promotion law to the Standing Committee of the National People's Congress (NPC) for deliberation and improved the development environment for the private sector. We actively fostered new growth drivers for foreign trade and steadily improved the import and export mix.,2,2,2-2,0.3392,67,48,0.7164,False,,无需自动清洗 | 无需自动清洗,提请全国人大常委会审议民营经济促进法草案，改善民营经济发展环境。积极拓展外贸新增长点，进出口结构不断优化，外贸出口对经济增长贡献增大。,We submitted a draft of the private sector promotion law to the Standing Committee of the National People's Congress (NPC) for deliberation and improved the development environment for the private sector. We actively fostered new growth drivers for foreign trade and steadily improved the import and export mix.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,10,5,34,全面实施跨境服务贸易负面清单。,These efforts enabled exports to contribute more to China's economic growth.,1,1,1-1,0.0158,15,11,0.7333,False,,无需自动清洗 | 无需自动清洗,全面实施跨境服务贸易负面清单。,These efforts enabled exports to contribute more to China's economic growth.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,10,6,35,开展增值电信、生物技术、独资医院开放试点。加大单边开放力度，对所有同中国建交的最不发达国家产品全面给予零关税待遇。,"We fully applied the negative list for cross-border trade in services and launched opening-up trials for value-added telecom services, biotechnology, and wholly foreign-owned hospitals. We expanded unilateral opening up, adopting zero tariffs on all products from all the least developed countries that have diplomatic relations with China.",2,2,2-2,0.4014,57,47,0.8246,False,,无需自动清洗 | 无需自动清洗,开展增值电信、生物技术、独资医院开放试点。加大单边开放力度，对所有同中国建交的最不发达国家产品全面给予零关税待遇。,"We fully applied the negative list for cross-border trade in services and launched opening-up trials for value-added telecom services, biotechnology, and wholly foreign-owned hospitals. We expanded unilateral opening up, adopting zero tariffs on all products from all the least developed countries that have diplomatic relations with China.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,10,7,36,扩大单方面免签国家范围，过境免签境内停留时间延长至240小时，入境旅游持续升温。,"We offered unilateral visa waivers to more countries and extended visa-free transit stays to 240 hours, thus bringing about a sustained surge in inbound tourism.",1,1,1-1,0.2165,40,24,0.6,False,,无需自动清洗 | 无需自动清洗,扩大单方面免签国家范围，过境免签境内停留时间延长至240小时，入境旅游持续升温。,"We offered unilateral visa waivers to more countries and extended visa-free transit stays to 240 hours, thus bringing about a sustained surge in inbound tourism.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,10,8,37,高质量共建“一带一路”成效显著，一批重大工程、民生项目稳步实施。,"Impressive strides were made in pursuing high-quality Belt and Road cooperation, and steady progress was secured in a number of major projects and public wellbeing programs.",1,1,1-1,0.0867,32,26,0.8125,False,,无需自动清洗 | 无需自动清洗,高质量共建“一带一路”成效显著，一批重大工程、民生项目稳步实施。,"Impressive strides were made in pursuing high-quality Belt and Road cooperation, and steady progress was secured in a number of major projects and public wellbeing programs.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,11,1,38,三是大力推动创新驱动发展，促进产业结构优化升级。,3. We made major efforts to promote innovation-driven development and upgraded the industrial structure.,1,2,1-2,0.4453,24,13,0.5417,False,,无需自动清洗 | 无需自动清洗,三是大力推动创新驱动发展，促进产业结构优化升级。,3. We made major efforts to promote innovation-driven development and upgraded the industrial structure.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,11,2,39,推进科技强国建设，全面启动实施国家科技重大专项，加快完善重大科技基础设施体系，加强拔尖创新人才培养。,"To boost China's strength in science and technology, we rolled out major national science and technology programs across the board, worked faster to improve major science and technology infrastructure, and redoubled efforts to cultivate first-class innovators.",1,1,1-1,0.0107,50,36,0.72,False,,无需自动清洗 | 无需自动清洗,推进科技强国建设，全面启动实施国家科技重大专项，加快完善重大科技基础设施体系，加强拔尖创新人才培养。,"To boost China's strength in science and technology, we rolled out major national science and technology programs across the board, worked faster to improve major science and technology infrastructure, and redoubled efforts to cultivate first-class innovators.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,11,3,40,稳定工业经济运行，推进制造业技术改造升级，制造业投资增长9.2%。,"We ensured stable performance in the industrial sector and advanced technological transformation and upgrading in the manufacturing sector, which saw a 9.2-percent increase in investment.",1,1,1-1,0.0402,33,25,0.7576,False,,无需自动清洗 | 无需自动清洗,稳定工业经济运行，推进制造业技术改造升级，制造业投资增长9.2%。,"We ensured stable performance in the industrial sector and advanced technological transformation and upgrading in the manufacturing sector, which saw a 9.2-percent increase in investment.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,11,4,41,新培育一批国家级先进制造业集群，商业航天、北斗应用、新型储能等新兴产业快速发展。,"We fostered a new batch of national-level advanced manufacturing clusters and achieved rapid growth in emerging industries, including commercial space, applications of the BeiDou Navigation Satellite System, and new types of energy storage.",1,1,1-1,0.1255,40,33,0.825,False,,无需自动清洗 | 无需自动清洗,新培育一批国家级先进制造业集群，商业航天、北斗应用、新型储能等新兴产业快速发展。,"We fostered a new batch of national-level advanced manufacturing clusters and achieved rapid growth in emerging industries, including commercial space, applications of the BeiDou Navigation Satellite System, and new types of energy storage.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,11,5,42,制定修订环保、安全等强制性国家标准。,Mandatory national standards such as those for environmental protection and safety were formulated or revised.,1,1,1-1,0.1355,18,15,0.8333,False,,无需自动清洗 | 无需自动清洗,制定修订环保、安全等强制性国家标准。,Mandatory national standards such as those for environmental protection and safety were formulated or revised.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,11,6,43,加快数字中国建设，数字经济核心产业增加值占国内生产总值比重达到10%左右。,"Thanks to swift development of the Digital China Initiative, the value added of core industries of the digital economy rose to about 10 percent of GDP.",1,1,1-1,0.0742,37,25,0.6757,False,,无需自动清洗 | 无需自动清洗,加快数字中国建设，数字经济核心产业增加值占国内生产总值比重达到10%左右。,"Thanks to swift development of the Digital China Initiative, the value added of core industries of the digital economy rose to about 10 percent of GDP.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,12,1,44,四是统筹城乡区域协调发展，优化经济布局。,4. We advanced coordinated development between urban and rural areas and between different regions and improved the economic layout.,1,2,1-2,0.2729,20,18,0.9,False,,无需自动清洗 | 无需自动清洗,四是统筹城乡区域协调发展，优化经济布局。,4. We advanced coordinated development between urban and rural areas and between different regions and improved the economic layout.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,12,2,45,出台实施新型城镇化战略五年行动计划，扎实推进城市更新，常住人口城镇化率提高到67%。,"We rolled out a five-year action plan for implementing the new urbanization strategy and made solid progress in urban renewal, while the share of permanent urban residents in the total population climbed to 67 percent.",1,1,1-1,0.0169,42,34,0.8095,False,,无需自动清洗 | 无需自动清洗,出台实施新型城镇化战略五年行动计划，扎实推进城市更新，常住人口城镇化率提高到67%。,"We rolled out a five-year action plan for implementing the new urbanization strategy and made solid progress in urban renewal, while the share of permanent urban residents in the total population climbed to 67 percent.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,12,3,46,坚持不懈夯实农业基础，防灾减灾和综合生产能力稳步提高，乡村全面振兴取得新成效。,We continued efforts to consolidate the foundations of agriculture and steadily built up the agricultural sector's capacity for disaster prevention and mitigation and overall production. New achievements were made in advancing all-around rural revitalization.,1,2,1-2,0.2411,39,34,0.8718,False,,无需自动清洗 | 无需自动清洗,坚持不懈夯实农业基础，防灾减灾和综合生产能力稳步提高，乡村全面振兴取得新成效。,We continued efforts to consolidate the foundations of agriculture and steadily built up the agricultural sector's capacity for disaster prevention and mitigation and overall production. New achievements were made in advancing all-around rural revitalization.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,12,4,47,出台一批区域发展政策，实施一批区域重大项目，健全主体功能区制度政策，区域融合发展取得新进展。,"We secured further headway in promoting integrated regional development by introducing a range of regional development policies, implementing a set of major regional programs, and improving functional zoning systems and policies.",1,1,1-1,0.1664,46,31,0.6739,False,,无需自动清洗 | 无需自动清洗,出台一批区域发展政策，实施一批区域重大项目，健全主体功能区制度政策，区域融合发展取得新进展。,"We secured further headway in promoting integrated regional development by introducing a range of regional development policies, implementing a set of major regional programs, and improving functional zoning systems and policies.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,13,1,48,五是积极发展社会事业，增进民生福祉。,5. We actively developed social programs and improved the people's wellbeing.,1,2,1-2,0.5204,18,10,0.5556,False,,无需自动清洗 | 无需自动清洗,五是积极发展社会事业，增进民生福祉。,5. We actively developed social programs and improved the people's wellbeing.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,13,2,49,出台促进高质量充分就业的政策措施，强化对企业吸纳就业的支持，高校毕业生、脱贫人口、农民工等重点群体就业保持稳定。,"We adopted new policy measures to promote high-quality and full employment, supported businesses in creating new jobs, and ensured stable employment among key groups, including college graduates, people lifted out of poverty, and rural migrant workers. We worked to build a strong educational system for China.",1,2,1-2,0.1706,56,46,0.8214,False,,无需自动清洗 | 无需自动清洗,出台促进高质量充分就业的政策措施，强化对企业吸纳就业的支持，高校毕业生、脱贫人口、农民工等重点群体就业保持稳定。,"We adopted new policy measures to promote high-quality and full employment, supported businesses in creating new jobs, and ensured stable employment among key groups, including college graduates, people lifted out of poverty, and rural migrant workers. We worked to build a strong educational system for China.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,13,3,50,推进教育强国建设。提高义务教育阶段家庭经济困难学生生活补助标准。,Living allowances were increased for students with financial difficulties in the compulsory education stage. We increased the standards and expanded the coverage of government scholarships and grants.,2,2,2-2,0.3474,32,27,0.8438,False,,无需自动清洗 | 无需自动清洗,推进教育强国建设。提高义务教育阶段家庭经济困难学生生活补助标准。,Living allowances were increased for students with financial difficulties in the compulsory education stage. We increased the standards and expanded the coverage of government scholarships and grants.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,13,4,51,国家奖助学金提标扩面、助学贷款提额降息，惠及学生3400多万人次。,The cap on government-subsidized student loans was raised and the interest rates were lowered. Students across the country benefited from these measures on over 34 million occasions.,1,2,1-2,0.1711,33,26,0.7879,False,,无需自动清洗 | 无需自动清洗,国家奖助学金提标扩面、助学贷款提额降息，惠及学生3400多万人次。,The cap on government-subsidized student loans was raised and the interest rates were lowered. Students across the country benefited from these measures on over 34 million occasions.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,13,5,52,巩固“双减”成果，持续优化基础教育生态。,"We consolidated the gains of initiatives launched to relieve students of excessive burdens from homework and off-campus tutoring, bringing about a further improvement in the basic education environment.",1,1,1-1,0.5538,20,28,1.4,False,,无需自动清洗 | 无需自动清洗,巩固“双减”成果，持续优化基础教育生态。,"We consolidated the gains of initiatives launched to relieve students of excessive burdens from homework and off-campus tutoring, bringing about a further improvement in the basic education environment.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,13,6,53,推进医疗机构检查检验结果互认，扩大基层慢性病、常见病用药种类。扎实做好重点传染病防治。,We made continued progress in advancing mutual recognition of clinical test results from different medical institutions and permitted community clinics to prescribe a wider range of medicines for chronic and common diseases.,2,1,2-1,0.2281,43,32,0.7442,False,,无需自动清洗 | 无需自动清洗,推进医疗机构检查检验结果互认，扩大基层慢性病、常见病用药种类。扎实做好重点传染病防治。,We made continued progress in advancing mutual recognition of clinical test results from different medical institutions and permitted community clinics to prescribe a wider range of medicines for chronic and common diseases.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,13,7,54,扩大职工医保个人账户共济范围。,We took concrete steps to prevent and control key infectious diseases.,1,1,1-1,0.0928,15,11,0.7333,False,,无需自动清洗 | 无需自动清洗,扩大职工医保个人账户共济范围。,We took concrete steps to prevent and control key infectious diseases.,无需自动清洗,无需自动清洗
