报告年份,原始文件,年度文件内行号,段内对齐序号,全局对齐序号,中文,英文,中文句数,英文句数,对齐类型,对齐成本,中文字符数,英文词数,英中长度比例,是否需要人工复核,问题类型,清洗说明,原始中文,原始英文,中文清洗动作,英文清洗动作
2024,01_report_2024.csv,7,2,12,关键核心技术攻关成果丰硕，航空发动机、燃气轮机、第四代核电机组等高端装备研制取得长足进展，人工智能、量子技术等前沿领域创新成果不断涌现。,"Substantial progress was made in the research and development (R&D) of high-end equipment, such as aircraft engines, gas turbines, and 4th-generation nuclear power units. A stream of innovations emerged in frontier areas such as artificial intelligence (AI) and quantum technology.",1,2,1-2,0.3546,68,41,0.6029,False,,无需自动清洗 | 无需自动清洗,关键核心技术攻关成果丰硕，航空发动机、燃气轮机、第四代核电机组等高端装备研制取得长足进展，人工智能、量子技术等前沿领域创新成果不断涌现。,"Substantial progress was made in the research and development (R&D) of high-end equipment, such as aircraft engines, gas turbines, and 4th-generation nuclear power units. A stream of innovations emerged in frontier areas such as artificial intelligence (AI) and quantum technology.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,7,3,13,技术合同成交额增长28.6%。,The volume of contracted technology transactions grew by 28.6 percent.,1,1,1-1,0.2095,15,9,0.6,False,,无需自动清洗 | 无需自动清洗,技术合同成交额增长28.6%。,The volume of contracted technology transactions grew by 28.6 percent.,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,7,4,14,创新驱动发展能力持续提升。,These achievements have further enhanced our capacity for innovation-driven development.,1,1,1-1,0.039,13,10,0.7692,False,,无需自动清洗 | 无需自动清洗,创新驱动发展能力持续提升。,These achievements have further enhanced our capacity for innovation-driven development.,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,8,1,15,——改革开放向纵深推进。新一轮机构改革中央层面基本完成，地方层面有序展开。,"— Reform and opening up were deepened. The latest round of institutional reform at the central government level was generally completed, and such reform at the local government level proceeded in a well-planned way.",2,2,2-2,0.4875,37,33,0.8919,False,,无需自动清洗 | 无需自动清洗,——改革开放向纵深推进。新一轮机构改革中央层面基本完成，地方层面有序展开。,"— Reform and opening up were deepened. The latest round of institutional reform at the central government level was generally completed, and such reform at the local government level proceeded in a well-planned way.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,8,2,16,加强全国统一大市场建设。实施国有企业改革深化提升行动，出台促进民营经济发展壮大政策。,"We stepped up efforts to build a unified national market, launched an initiative to deepen and upgrade state-owned enterprise (SOE) reform, and adopted policies to spur the growth of the private sector.",2,1,2-1,0.1799,42,32,0.7619,False,,无需自动清洗 | 无需自动清洗,加强全国统一大市场建设。实施国有企业改革深化提升行动，出台促进民营经济发展壮大政策。,"We stepped up efforts to build a unified national market, launched an initiative to deepen and upgrade state-owned enterprise (SOE) reform, and adopted policies to spur the growth of the private sector.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,8,3,17,自贸试验区建设布局进一步完善。,"The layout of pilot free trade zones was further improved, and the global market share of China's exports remained stable.",1,1,1-1,0.5895,15,20,1.3333,False,,无需自动清洗 | 无需自动清洗,自贸试验区建设布局进一步完善。,"The layout of pilot free trade zones was further improved, and the global market share of China's exports remained stable.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,8,4,18,出口占国际市场份额保持稳定，实际使用外资结构优化，共建“一带一路”的国际影响力、感召力更为彰显。,The mix of utilized foreign investment was improved; the Belt and Road Initiative cooperation gained greater international influence and appeal.,1,2,1-2,0.7236,48,20,0.4167,False,,无需自动清洗 | 无需自动清洗,出口占国际市场份额保持稳定，实际使用外资结构优化，共建“一带一路”的国际影响力、感召力更为彰显。,The mix of utilized foreign investment was improved; the Belt and Road Initiative cooperation gained greater international influence and appeal.,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,9,1,19,——安全发展基础巩固夯实。,— The foundations for secure development were further consolidated.,1,1,1-1,0.0269,13,8,0.6154,False,,无需自动清洗 | 无需自动清洗,——安全发展基础巩固夯实。,— The foundations for secure development were further consolidated.,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,9,2,20,粮食产量1.39万亿斤，再创历史新高。能源资源供应稳定。,Grain output reached a record of 695 million metric tons. The supply of energy and resources remained stable.,2,2,2-2,0.3404,28,17,0.6071,False,,无需自动清洗 | 无需自动清洗,粮食产量1.39万亿斤，再创历史新高。能源资源供应稳定。,Grain output reached a record of 695 million metric tons. The supply of energy and resources remained stable.,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,9,3,21,重要产业链供应链自主可控能力提升。,China's important industrial and supply chains became more self-supporting and related risks were better controlled.,1,1,1-1,0.3334,17,15,0.8824,False,,无需自动清洗 | 无需自动清洗,重要产业链供应链自主可控能力提升。,China's important industrial and supply chains became more self-supporting and related risks were better controlled.,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,9,4,22,经济金融重点领域风险稳步化解。现代化基础设施建设不断加强。,Steady progress was made in defusing major economic and financial risks. Infrastructure was further modernized.,2,2,2-2,0.5007,29,15,0.5172,False,,无需自动清洗 | 无需自动清洗,经济金融重点领域风险稳步化解。现代化基础设施建设不断加强。,Steady progress was made in defusing major economic and financial risks. Infrastructure was further modernized.,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,10,1,23,——生态环境质量稳中改善。污染防治攻坚战深入开展，主要污染物排放量继续下降，地表水和近岸海域水质持续好转。,"— The environment saw steady improvements. Thanks to further steps to prevent and control pollution, the discharge of major pollutants continued to fall and the quality of surface water and offshore water continued to improve.",2,2,2-2,0.4795,53,34,0.6415,False,,无需自动清洗 | 无需自动清洗,——生态环境质量稳中改善。污染防治攻坚战深入开展，主要污染物排放量继续下降，地表水和近岸海域水质持续好转。,"— The environment saw steady improvements. Thanks to further steps to prevent and control pollution, the discharge of major pollutants continued to fall and the quality of surface water and offshore water continued to improve.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,10,2,24,“三北”工程攻坚战全面启动。,"The shelterbelt program in northeast, north, and northwest China entered a crucial stage.",1,1,1-1,0.1903,14,13,0.9286,False,,无需自动清洗 | 无需自动清洗,“三北”工程攻坚战全面启动。,"The shelterbelt program in northeast, north, and northwest China entered a crucial stage.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,10,3,25,可再生能源发电装机规模历史性超过火电，全年新增装机超过全球一半。,"China's installed renewable energy capacity surpassed its thermal power capacity for the first time in history, and China accounted for over half of newly installed renewable energy capacity worldwide.",1,1,1-1,0.1659,32,29,0.9062,False,,无需自动清洗 | 无需自动清洗,可再生能源发电装机规模历史性超过火电，全年新增装机超过全球一半。,"China's installed renewable energy capacity surpassed its thermal power capacity for the first time in history, and China accounted for over half of newly installed renewable energy capacity worldwide.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,11,1,26,——民生保障有力有效。居民人均可支配收入增长6.1%，城乡居民收入差距继续缩小。,"— People's wellbeing was ensured. Per capita disposable income of residents increased by 6.1 percent, and the income gap between urban and rural residents continued to narrow.",2,2,2-2,0.4151,40,25,0.625,False,,无需自动清洗 | 无需自动清洗,——民生保障有力有效。居民人均可支配收入增长6.1%，城乡居民收入差距继续缩小。,"— People's wellbeing was ensured. Per capita disposable income of residents increased by 6.1 percent, and the income gap between urban and rural residents continued to narrow.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,11,2,27,脱贫攻坚成果巩固拓展，脱贫地区农村居民收入增长8.4%。加大义务教育、基本养老、基本医疗等财政补助力度，扩大救助保障对象范围。,"The gains of poverty elimination were consolidated and expanded, with per capita income in rural areas that have been lifted out of poverty growing by 8.4 percent. We increased subsidies for compulsory education, basic old-age insurance, and basic medical insurance and expanded the coverage of assistance and support.",2,2,2-2,0.3619,63,47,0.746,False,,无需自动清洗 | 无需自动清洗,脱贫攻坚成果巩固拓展，脱贫地区农村居民收入增长8.4%。加大义务教育、基本养老、基本医疗等财政补助力度，扩大救助保障对象范围。,"The gains of poverty elimination were consolidated and expanded, with per capita income in rural areas that have been lifted out of poverty growing by 8.4 percent. We increased subsidies for compulsory education, basic old-age insurance, and basic medical insurance and expanded the coverage of assistance and support.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,11,3,28,提高“一老一小”个人所得税专项附加扣除标准，6600多万纳税人受益。,"Over 66 million taxpayers benefited from an increase in special additional deductions for individual income tax, which cover children nursing expenses, children's education, and elderly care expenses.",1,1,1-1,0.0867,34,26,0.7647,False,,无需自动清洗 | 无需自动清洗,提高“一老一小”个人所得税专项附加扣除标准，6600多万纳税人受益。,"Over 66 million taxpayers benefited from an increase in special additional deductions for individual income tax, which cover children nursing expenses, children's education, and elderly care expenses.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,11,4,29,加强城镇老旧小区改造和保障性住房供给，惠及上千万家庭。,"We redoubled efforts to renovate old urban residential compounds and develop government-subsidized housing, benefiting over 10 million households.",1,1,1-1,0.1077,27,17,0.6296,False,,无需自动清洗 | 无需自动清洗,加强城镇老旧小区改造和保障性住房供给，惠及上千万家庭。,"We redoubled efforts to renovate old urban residential compounds and develop government-subsidized housing, benefiting over 10 million households.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,12,1,30,回顾过去一年，多重困难挑战交织叠加，我国经济波浪式发展、曲折式前进，成绩来之不易。,"Looking back at 2023, we can see that as we faced an array of interwoven difficulties and challenges, China's economy grew in a wave-like fashion amid twists and turns. Indeed, our achievements did not come easily.",1,2,1-2,0.3595,41,35,0.8537,False,,无需自动清洗 | 无需自动清洗,回顾过去一年，多重困难挑战交织叠加，我国经济波浪式发展、曲折式前进，成绩来之不易。,"Looking back at 2023, we can see that as we faced an array of interwoven difficulties and challenges, China's economy grew in a wave-like fashion amid twists and turns. Indeed, our achievements did not come easily.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,12,2,31,从国际看，世界经济复苏乏力，地缘政治冲突加剧，保护主义、单边主义上升，外部环境对我国发展的不利影响持续加大。,"Globally, the economic recovery was sluggish. Geopolitical conflicts became more acute, protectionism and unilateralism were on the rise, and the external environment exerted a more adverse impact on China's development.",1,2,1-2,0.3701,54,30,0.5556,False,,无需自动清洗 | 无需自动清洗,从国际看，世界经济复苏乏力，地缘政治冲突加剧，保护主义、单边主义上升，外部环境对我国发展的不利影响持续加大。,"Globally, the economic recovery was sluggish. Geopolitical conflicts became more acute, protectionism and unilateralism were on the rise, and the external environment exerted a more adverse impact on China's development.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,12,3,32,从国内看，经历三年新冠疫情冲击，经济恢复发展本身有不少难题，长期积累的深层次矛盾加速显现，很多新情况新问题又接踵而至。,"Domestically, owing to the impact of a three-year Covid-19 pandemic, many difficulties facing our economic recovery and development had yet to be resolved. While deep-seated, long-standing issues became more pronounced, many new developments and problems emerged.",1,2,1-2,0.2763,59,36,0.6102,False,,无需自动清洗 | 无需自动清洗,从国内看，经历三年新冠疫情冲击，经济恢复发展本身有不少难题，长期积累的深层次矛盾加速显现，很多新情况新问题又接踵而至。,"Domestically, owing to the impact of a three-year Covid-19 pandemic, many difficulties facing our economic recovery and development had yet to be resolved. While deep-seated, long-standing issues became more pronounced, many new developments and problems emerged.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,12,4,33,外需下滑和内需不足碰头，周期性和结构性问题并存，一些地方的房地产、地方债务、中小金融机构等风险隐患凸显，部分地区遭受洪涝、台风、地震等严重自然灾害。,"A drop in external demand coincided with a lack of domestic demand, and both cyclical and structural issues existed. Risks and potential dangers in real estate, local government debt, and small and medium financial institutions were acute in some areas.",1,2,1-2,0.3975,74,40,0.5405,False,,无需自动清洗 | 无需自动清洗,外需下滑和内需不足碰头，周期性和结构性问题并存，一些地方的房地产、地方债务、中小金融机构等风险隐患凸显，部分地区遭受洪涝、台风、地震等严重自然灾害。,"A drop in external demand coincided with a lack of domestic demand, and both cyclical and structural issues existed. Risks and potential dangers in real estate, local government debt, and small and medium financial institutions were acute in some areas.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,12,5,34,在这种情况下，政策抉择和工作推进面临的两难多难问题明显增加。,"Some places were hit hard by natural disasters, such as floods, typhoons, and earthquakes. Under these circumstances, we faced considerably more dilemmas in making policy decisions and doing our work.",1,2,1-2,0.5177,30,30,1.0,False,,无需自动清洗 | 无需自动清洗,在这种情况下，政策抉择和工作推进面临的两难多难问题明显增加。,"Some places were hit hard by natural disasters, such as floods, typhoons, and earthquakes. Under these circumstances, we faced considerably more dilemmas in making policy decisions and doing our work.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,12,6,35,经过全国上下共同努力，不仅实现了全年预期发展目标，许多方面还出现积极向好变化。,"However, thanks to the concerted efforts of the entire nation, we accomplished the year's development goals and embraced positive changes on many fronts.",1,1,1-1,0.1603,39,23,0.5897,False,,无需自动清洗 | 无需自动清洗,经过全国上下共同努力，不仅实现了全年预期发展目标，许多方面还出现积极向好变化。,"However, thanks to the concerted efforts of the entire nation, we accomplished the year's development goals and embraced positive changes on many fronts.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,12,7,36,特别是我们深化了新时代做好经济工作的规律性认识，积累了克服重大困难的宝贵经验。,"In particular, we acquired a deeper understanding of the laws governing economic work in the new era and gained valuable experience in overcoming major difficulties.",1,1,1-1,0.077,39,25,0.641,False,,无需自动清洗 | 无需自动清洗,特别是我们深化了新时代做好经济工作的规律性认识，积累了克服重大困难的宝贵经验。,"In particular, we acquired a deeper understanding of the laws governing economic work in the new era and gained valuable experience in overcoming major difficulties.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,12,8,37,实践充分表明，在以习近平同志为核心的党中央坚强领导下，中国人民有勇气、有智慧、有能力战胜任何艰难险阻，中国发展必将长风破浪、未来可期！,"All this demonstrates that under the strong leadership of the CPC Central Committee with Comrade Xi Jinping at its core, the Chinese people have the courage, vision, and strength to meet any challenge and overcome any obstacle. There is no doubt that in pursuing development, China will continue to surge ahead, cleave mighty waves, and advance toward a great future.",1,2,1-2,0.4074,67,60,0.8955,False,,无需自动清洗 | 无需自动清洗,实践充分表明，在以习近平同志为核心的党中央坚强领导下，中国人民有勇气、有智慧、有能力战胜任何艰难险阻，中国发展必将长风破浪、未来可期！,"All this demonstrates that under the strong leadership of the CPC Central Committee with Comrade Xi Jinping at its core, the Chinese people have the courage, vision, and strength to meet any challenge and overcome any obstacle. There is no doubt that in pursuing development, China will continue to surge ahead, cleave mighty waves, and advance toward a great future.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,13,1,38,一年来，我们深入学习贯彻党的二十大和二十届二中全会精神，按照党中央决策部署，主要做了以下工作。,"Last year, we thoroughly studied and implemented the guiding principles from the 20th CPC National Congress and the Second Plenary Session of the 20th CPC Central Committee and implemented the decisions and plans of the Party Central Committee. On that basis, we mainly carried out the following work:",1,2,1-2,0.15,47,48,1.0213,False,,无需自动清洗 | 无需自动清洗,一年来，我们深入学习贯彻党的二十大和二十届二中全会精神，按照党中央决策部署，主要做了以下工作。,"Last year, we thoroughly studied and implemented the guiding principles from the 20th CPC National Congress and the Second Plenary Session of the 20th CPC Central Committee and implemented the decisions and plans of the Party Central Committee. On that basis, we mainly carried out the following work:",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,14,1,39,一是加大宏观调控力度，推动经济运行持续好转。,1. We strengthened macro regulation and promoted steady economic recovery and growth.,1,2,1-2,0.6264,22,11,0.5,False,,无需自动清洗 | 无需自动清洗,一是加大宏观调控力度，推动经济运行持续好转。,1. We strengthened macro regulation and promoted steady economic recovery and growth.,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,14,2,40,针对严峻挑战和疫后经济恢复特点，我们统筹稳增长和增后劲，突出固本培元，注重精准施策，把握宏观调控时、度、效，加强逆周期调节，不搞“大水漫灌”和短期强刺激，更多在推动高质量发展上用力，全年经济运行呈现前低中高后稳态势。,"In light of grave challenges and the particular conditions of the post-Covid economic recovery, we took coordinated steps to ensure stable growth and sustain its momentum, and gave priority to consolidating the foundations of the economy and taking targeted measures. We ensured the proper timing, intensity, and effect in conducting macro regulation, and strengthened counter-cyclical adjustments.",1,2,1-2,0.59,108,56,0.5185,False,,无需自动清洗 | 无需自动清洗,针对严峻挑战和疫后经济恢复特点，我们统筹稳增长和增后劲，突出固本培元，注重精准施策，把握宏观调控时、度、效，加强逆周期调节，不搞“大水漫灌”和短期强刺激，更多在推动高质量发展上用力，全年经济运行呈现前低中高后稳态势。,"In light of grave challenges and the particular conditions of the post-Covid economic recovery, we took coordinated steps to ensure stable growth and sustain its momentum, and gave priority to consolidating the foundations of the economy and taking targeted measures. We ensured the proper timing, intensity, and effect in conducting macro regulation, and strengthened counter-cyclical adjustments.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,14,3,41,围绕扩大内需、优化结构、提振信心、防范化解风险，延续优化一批阶段性政策，及时推出一批新政策，打出有力有效的政策组合拳。,"We refrained from resorting to a deluge of stimulus policies or strong short-term stimulus measures, and made greater efforts to promote high-quality development. Over the course of the year, China's economy experienced a slow start, but reached a midyear peak, and achieved stable growth in the latter half.",1,2,1-2,0.1604,59,48,0.8136,False,,无需自动清洗 | 无需自动清洗,围绕扩大内需、优化结构、提振信心、防范化解风险，延续优化一批阶段性政策，及时推出一批新政策，打出有力有效的政策组合拳。,"We refrained from resorting to a deluge of stimulus policies or strong short-term stimulus measures, and made greater efforts to promote high-quality development. Over the course of the year, China's economy experienced a slow start, but reached a midyear peak, and achieved stable growth in the latter half.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,14,4,42,财政政策加力提效，加强重点领域支出保障，全年新增税费优惠超过2.2万亿元，增发1万亿元国债支持灾后恢复重建、提升防灾减灾救灾能力。,"To expand domestic demand, improve the economic structure, bolster confidence, and prevent and defuse risks, we adopted a full range of robust and effective policies, namely, extending and improving a number of time-limited policies and rolling out a new batch of timely policies. We enhanced the intensity and effectiveness of fiscal policies and ensured spending in key areas.",1,2,1-2,0.2528,65,58,0.8923,False,,无需自动清洗 | 无需自动清洗,财政政策加力提效，加强重点领域支出保障，全年新增税费优惠超过2.2万亿元，增发1万亿元国债支持灾后恢复重建、提升防灾减灾救灾能力。,"To expand domestic demand, improve the economic structure, bolster confidence, and prevent and defuse risks, we adopted a full range of robust and effective policies, namely, extending and improving a number of time-limited policies and rolling out a new batch of timely policies. We enhanced the intensity and effectiveness of fiscal policies and ensured spending in key areas.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,14,5,43,货币政策精准有力，两次降低存款准备金率、两次下调政策利率，科技创新、先进制造、普惠小微、绿色发展等贷款大幅增长。,"Additional tax and fee relief measures introduced last year resulted in savings exceeding 2.2 trillion yuan, and an additional 1 trillion yuan of treasury bonds was issued to support post-disaster recovery and reconstruction and build up capacity for disaster prevention, mitigation, and relief. Monetary policies were implemented in a targeted and effective way.",1,2,1-2,0.2732,56,51,0.9107,False,,无需自动清洗 | 无需自动清洗,货币政策精准有力，两次降低存款准备金率、两次下调政策利率，科技创新、先进制造、普惠小微、绿色发展等贷款大幅增长。,"Additional tax and fee relief measures introduced last year resulted in savings exceeding 2.2 trillion yuan, and an additional 1 trillion yuan of treasury bonds was issued to support post-disaster recovery and reconstruction and build up capacity for disaster prevention, mitigation, and relief. Monetary policies were implemented in a targeted and effective way.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,14,6,44,出台支持汽车、家居、电子产品、旅游等消费政策，大宗消费稳步回升，生活服务消费加快恢复。,"Required reserve ratios and policy interest rates were lowered two times, and there was a significant increase in loans issued to support scientific and technological innovation, advanced manufacturing, micro and small businesses, and green development initiatives.",1,1,1-1,0.0391,43,36,0.8372,False,,无需自动清洗 | 无需自动清洗,出台支持汽车、家居、电子产品、旅游等消费政策，大宗消费稳步回升，生活服务消费加快恢复。,"Required reserve ratios and policy interest rates were lowered two times, and there was a significant increase in loans issued to support scientific and technological innovation, advanced manufacturing, micro and small businesses, and green development initiatives.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,14,7,45,发挥政府投资撬动作用，制定促进民间投资政策，能源、水利等基础设施和制造业投资较快增长。,"Thanks to policies to boost consumer spending such as those on automobiles, home furnishing, electronic products, and tourism, spending on big-ticket items steadily picked up and consumption of consumer services recovered quickly.",1,1,1-1,0.0787,43,32,0.7442,False,,无需自动清洗 | 无需自动清洗,发挥政府投资撬动作用，制定促进民间投资政策，能源、水利等基础设施和制造业投资较快增长。,"Thanks to policies to boost consumer spending such as those on automobiles, home furnishing, electronic products, and tourism, spending on big-ticket items steadily picked up and consumption of consumer services recovered quickly.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,14,8,46,因城施策优化房地产调控，推动降低房贷成本，积极推进保交楼工作。,We fully leveraged the role of government investment in boosting overall investment and adopted policies for promoting non-governmental investment. There was rapid growth in investments in energy and water conservancy infrastructure as well as the manufacturing sector.,1,2,1-2,0.5437,31,37,1.1935,False,,无需自动清洗 | 无需自动清洗,因城施策优化房地产调控，推动降低房贷成本，积极推进保交楼工作。,We fully leveraged the role of government investment in boosting overall investment and adopted policies for promoting non-governmental investment. There was rapid growth in investments in energy and water conservancy infrastructure as well as the manufacturing sector.,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,14,9,47,制定实施一揽子化解地方债务方案，分类处置金融风险，守住了不发生系统性风险的底线。,"We improved city-specific policies on real estate regulation, worked to lower housing mortgage costs, and ensured the delivery of housing projects. We formulated and implemented a package of steps to address local government debt, dealt with financial risks by type, and ensured that no systemic risks arose.",1,2,1-2,0.528,40,47,1.175,False,,无需自动清洗 | 无需自动清洗,制定实施一揽子化解地方债务方案，分类处置金融风险，守住了不发生系统性风险的底线。,"We improved city-specific policies on real estate regulation, worked to lower housing mortgage costs, and ensured the delivery of housing projects. We formulated and implemented a package of steps to address local government debt, dealt with financial risks by type, and ensured that no systemic risks arose.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,15,1,48,二是依靠创新引领产业升级，增强城乡区域发展新动能。,2. We promoted industrial upgrading through innovation and gained new momentum for coordinated urban-rural and regional development.,1,2,1-2,0.2942,25,16,0.64,False,,无需自动清洗 | 无需自动清洗,二是依靠创新引领产业升级，增强城乡区域发展新动能。,2. We promoted industrial upgrading through innovation and gained new momentum for coordinated urban-rural and regional development.,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,15,2,49,强化国家战略科技力量，加快实施重大科技项目。,"To build China's strength in strategic science and technology, we stepped up efforts to implement major science and technology programs.",1,1,1-1,0.2068,22,20,0.9091,False,,无需自动清洗 | 无需自动清洗,强化国家战略科技力量，加快实施重大科技项目。,"To build China's strength in strategic science and technology, we stepped up efforts to implement major science and technology programs.",无需自动清洗,无需自动清洗
