报告年份,原始文件,年度文件内行号,段内对齐序号,全局对齐序号,中文,英文,中文句数,英文句数,对齐类型,对齐成本,中文字符数,英文词数,英中长度比例,是否需要人工复核,问题类型,清洗说明,原始中文,原始英文,中文清洗动作,英文清洗动作
2026,03_report_2026.csv,5,4,11,对外贸易较快增长，出口多元化成效明显，国际收支基本平衡。,Public wellbeing initiatives delivered more robust outcomes: Personal incomes rose in step with economic growth; poverty alleviation gains were consolidated and expanded;,1,2,1-2,0.3722,28,22,0.7857,False,,无需自动清洗 | 无需自动清洗,对外贸易较快增长，出口多元化成效明显，国际收支基本平衡。,Public wellbeing initiatives delivered more robust outcomes: Personal incomes rose in step with economic growth; poverty alleviation gains were consolidated and expanded;,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,5,5,12,民生保障更加有力，居民收入增长和经济增长同步，脱贫攻坚成果巩固拓展，实施学前一年免费教育政策、惠及1400万儿童，全面实施育儿补贴制度、惠及3000多万婴幼儿。,"the policy of providing one year of free preschool education was implemented, benefiting 14 million children; and over 30 million children under three benefited from the childcare subsidies launched nationwide last year.",1,2,1-2,0.6675,80,30,0.375,False,,无需自动清洗 | 无需自动清洗,民生保障更加有力，居民收入增长和经济增长同步，脱贫攻坚成果巩固拓展，实施学前一年免费教育政策、惠及1400万儿童，全面实施育儿补贴制度、惠及3000多万婴幼儿。,"the policy of providing one year of free preschool education was implemented, benefiting 14 million children; and over 30 million children under three benefited from the childcare subsidies launched nationwide last year.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,5,6,13,粮食产量达到1.43万亿斤。,Grain output rose to 715 million metric tons.,1,1,1-1,0.2298,14,7,0.5,False,,无需自动清洗 | 无需自动清洗,粮食产量达到1.43万亿斤。,Grain output rose to 715 million metric tons.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,5,7,14,重点领域风险化解取得积极进展，社会大局保持稳定。,Encouraging headway was made in defusing risks in key areas; overall social stability was ensured.,1,2,1-2,0.1566,24,15,0.625,False,,无需自动清洗 | 无需自动清洗,重点领域风险化解取得积极进展，社会大局保持稳定。,Encouraging headway was made in defusing risks in key areas; overall social stability was ensured.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,7,1,15,过去一年取得的成绩来之不易。,What we achieved in 2025 was indeed hard won.,1,1,1-1,0.2456,14,8,0.5714,False,,无需自动清洗 | 无需自动清洗,过去一年取得的成绩来之不易。,What we achieved in 2025 was indeed hard won.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,7,2,16,我们面对的是多年少有的外部冲击挑战和国内两难多难问题交织叠加的复杂严峻形势。,"Rarely in many years have we encountered such a grave and complex landscape, where external shocks and challenges were intertwined with domestic difficulties and tough policy choices. The international economic and trade environment underwent drastic changes.",1,2,1-2,0.4099,38,36,0.9474,False,,无需自动清洗 | 无需自动清洗,我们面对的是多年少有的外部冲击挑战和国内两难多难问题交织叠加的复杂严峻形势。,"Rarely in many years have we encountered such a grave and complex landscape, where external shocks and challenges were intertwined with domestic difficulties and tough policy choices. The international economic and trade environment underwent drastic changes.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,7,3,17,国际经贸环境急剧变化，单边主义、保护主义陡然升级，市场预期受到频繁扰动，对外贸易明显承压。,"As unilateralism and protectionism abruptly escalated, market expectations were hit by frequent volatility, and China's foreign trade came under considerable pressure. Domestically, the economy remained in the midst of a profound transformation, deep-seated structural problems became more pronounced, and consumption and investment lacked adequate growth momentum.",1,2,1-2,0.486,45,46,1.0222,False,,无需自动清洗 | 无需自动清洗,国际经贸环境急剧变化，单边主义、保护主义陡然升级，市场预期受到频繁扰动，对外贸易明显承压。,"As unilateralism and protectionism abruptly escalated, market expectations were hit by frequent volatility, and China's foreign trade came under considerable pressure. Domestically, the economy remained in the midst of a profound transformation, deep-seated structural problems became more pronounced, and consumption and investment lacked adequate growth momentum.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,7,4,18,国内经济深刻转型，深层次结构性矛盾问题持续显现，消费、投资增长动力不足。,"The Party Central Committee with Comrade Xi Jinping at its core led us in meeting these challenges with composure and pressing ahead with fortitude. On the international front, we took a reasoned, robust, and effective approach to addressing economic and trade issues and stood firm in safeguarding China's national interests.",1,2,1-2,0.7925,36,50,1.3889,False,,无需自动清洗 | 无需自动清洗,国内经济深刻转型，深层次结构性矛盾问题持续显现，消费、投资增长动力不足。,"The Party Central Committee with Comrade Xi Jinping at its core led us in meeting these challenges with composure and pressing ahead with fortitude. On the international front, we took a reasoned, robust, and effective approach to addressing economic and trade issues and stood firm in safeguarding China's national interests.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,7,5,19,以习近平同志为核心的党中央带领我们沉着应对、勇毅前行，对外有理有力有效开展经贸斗争，坚定维护我国利益，中美5轮经贸磋商取得积极成果，两国元首釜山会晤达成重要共识，为经贸合作注入更多稳定性；,"Positive outcomes were produced by the five rounds of China-US trade talks, and important common understandings were reached by the two countries' heads of state during their meeting in Busan, putting China-US economic and trade cooperation on a more stable footing. On the domestic front, we focused on running our own affairs well: We improved policy coordination and took macro policy steps to enhance counter-cyclical adjustments, with the aim of keeping employment, enterprise operations, markets, and expectations stable.",1,2,1-2,0.2774,94,78,0.8298,False,,无需自动清洗 | 无需自动清洗,以习近平同志为核心的党中央带领我们沉着应对、勇毅前行，对外有理有力有效开展经贸斗争，坚定维护我国利益，中美5轮经贸磋商取得积极成果，两国元首釜山会晤达成重要共识，为经贸合作注入更多稳定性；,"Positive outcomes were produced by the five rounds of China-US trade talks, and important common understandings were reached by the two countries' heads of state during their meeting in Busan, putting China-US economic and trade cooperation on a more stable footing. On the domestic front, we focused on running our own affairs well: We improved policy coordination and took macro policy steps to enhance counter-cyclical adjustments, with the aim of keeping employment, enterprise operations, markets, and expectations stable.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,7,6,20,对内打好政策“组合拳”，加强宏观政策逆周期调节，着力稳就业、稳企业、稳市场、稳预期，集中力量办好自己的事。,"By preparing for the worst while striving for the best, not only did we maintain overall macroeconomic stability and secure new advances in high-quality development, but we also significantly bolstered morale and confidence across society. During this process, we deepened our understanding of what is needed to deliver in economic work under new circumstances: We must fully tap the potential of the economy;",1,2,1-2,0.6368,53,63,1.1887,False,,无需自动清洗 | 无需自动清洗,对内打好政策“组合拳”，加强宏观政策逆周期调节，着力稳就业、稳企业、稳市场、稳预期，集中力量办好自己的事。,"By preparing for the worst while striving for the best, not only did we maintain overall macroeconomic stability and secure new advances in high-quality development, but we also significantly bolstered morale and confidence across society. During this process, we deepened our understanding of what is needed to deliver in economic work under new circumstances: We must fully tap the potential of the economy;",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,7,7,21,我们从最坏处打算，向最好处努力，不仅稳住了宏观经济大盘，推动高质量发展取得新成效，而且极大提振了全社会的士气和信心。,both provide policy support and pursue reform and innovation; both foster market vitality and conduct effective regulation;,1,2,1-2,1.0633,58,17,0.2931,False,,无需自动清洗 | 无需自动清洗,我们从最坏处打算，向最好处努力，不仅稳住了宏观经济大盘，推动高质量发展取得新成效，而且极大提振了全社会的士气和信心。,both provide policy support and pursue reform and innovation; both foster market vitality and conduct effective regulation;,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,7,9,23,实践再次证明，坚持党中央集中统一领导是应对一切困难、做好各项工作的根本保证，中国人民有信心有智慧有力量战胜一切艰难险阻！,"Once again, it has been shown that upholding the centralized, unified leadership of the Party Central Committee is the fundamental guarantee for overcoming all difficulties and advancing all of our work. It has been shown that the Chinese people possess the confidence, wisdom, and strength to surmount any obstacle that lies ahead.",1,2,1-2,0.3209,60,52,0.8667,False,,无需自动清洗 | 无需自动清洗,实践再次证明，坚持党中央集中统一领导是应对一切困难、做好各项工作的根本保证，中国人民有信心有智慧有力量战胜一切艰难险阻！,"Once again, it has been shown that upholding the centralized, unified leadership of the Party Central Committee is the fundamental guarantee for overcoming all difficulties and advancing all of our work. It has been shown that the Chinese people possess the confidence, wisdom, and strength to surmount any obstacle that lies ahead.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,10,1,24,二是坚持创新驱动发展，建设现代化产业体系。,2. We pursued innovation-driven development and continued to build a modernized industrial system.,1,2,1-2,0.2309,21,12,0.5714,False,,无需自动清洗 | 无需自动清洗,二是坚持创新驱动发展，建设现代化产业体系。,2. We pursued innovation-driven development and continued to build a modernized industrial system.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,10,2,25,全面推进科技强国建设战略部署，强化国家战略科技力量建设，完善区域科技创新体系，加强基础前沿领域体系化布局和关键核心技术攻关。,"We implemented strategic plans for comprehensively building China's strength in science and technology. This included boosting strategic science and technology capabilities, improving regional technological innovation systems, reinforcing systematic planning for basic and frontier areas, and making breakthroughs in core technologies in key fields.",1,2,1-2,0.2628,62,43,0.6935,False,,无需自动清洗 | 无需自动清洗,全面推进科技强国建设战略部署，强化国家战略科技力量建设，完善区域科技创新体系，加强基础前沿领域体系化布局和关键核心技术攻关。,"We implemented strategic plans for comprehensively building China's strength in science and technology. This included boosting strategic science and technology capabilities, improving regional technological innovation systems, reinforcing systematic planning for basic and frontier areas, and making breakthroughs in core technologies in key fields.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,10,3,26,全社会研发经费投入强度达到2.8%，技术合同成交额增长10.8%。,"Last year, China's R&D spending reached 2.8 percent of GDP, and the value of technology contract transactions rose by 10.8 percent.",1,1,1-1,0.022,33,20,0.6061,False,,无需自动清洗 | 无需自动清洗,全社会研发经费投入强度达到2.8%，技术合同成交额增长10.8%。,"Last year, China's R&D spending reached 2.8 percent of GDP, and the value of technology contract transactions rose by 10.8 percent.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,10,4,27,科技创新和产业创新融合加快，传统产业转型升级不断深入，新兴产业、未来产业蓬勃发展，现代服务业保持快速发展势头。,The integration of technological and industrial innovation picked up pace; transformation and upgrading of traditional industries continued;,1,2,1-2,0.8454,55,17,0.3091,False,,无需自动清洗 | 无需自动清洗,科技创新和产业创新融合加快，传统产业转型升级不断深入，新兴产业、未来产业蓬勃发展，现代服务业保持快速发展势头。,The integration of technological and industrial innovation picked up pace; transformation and upgrading of traditional industries continued;,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,10,5,28,聚焦重点领域制定修订583项国家标准。,emerging industries and industries of the future achieved impressive growth; and rapid development was sustained in modern services.,1,2,1-2,0.5747,19,18,0.9474,False,,无需自动清洗 | 无需自动清洗,聚焦重点领域制定修订583项国家标准。,emerging industries and industries of the future achieved impressive growth; and rapid development was sustained in modern services.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,10,6,29,持续推进制造业数字化转型和“人工智能+”行动，行业应用加快落地，新型智能终端不断涌现。,A total of 583 national standards for key areas were formulated or revised. We moved ahead with digital transformation of manufacturing and the AI Plus Initiative.,1,2,1-2,0.2136,43,25,0.5814,False,,无需自动清洗 | 无需自动清洗,持续推进制造业数字化转型和“人工智能+”行动，行业应用加快落地，新型智能终端不断涌现。,A total of 583 national standards for key areas were formulated or revised. We moved ahead with digital transformation of manufacturing and the AI Plus Initiative.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,10,7,30,数据要素潜力加快释放，数字经济核心产业增加值占国内生产总值的比重提高到10.5%以上。,"AI industrial application gathered pace, and new intelligent terminals emerged continuously. The potential of data as a production factor was unlocked more quickly, and the value added of core digital economy industries exceeded 10.5 percent of GDP.",1,2,1-2,0.4511,43,36,0.8372,False,,无需自动清洗 | 无需自动清洗,数据要素潜力加快释放，数字经济核心产业增加值占国内生产总值的比重提高到10.5%以上。,"AI industrial application gathered pace, and new intelligent terminals emerged continuously. The potential of data as a production factor was unlocked more quickly, and the value added of core digital economy industries exceeded 10.5 percent of GDP.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,11,1,31,三是进一步深化改革开放，畅通国民经济循环。,3. We further deepened reform and opening up and ensured smooth flows in the national economy.,1,2,1-2,0.2827,21,15,0.7143,False,,无需自动清洗 | 无需自动清洗,三是进一步深化改革开放，畅通国民经济循环。,3. We further deepened reform and opening up and ensured smooth flows in the national economy.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,11,2,32,扎实落实党的二十届三中全会改革部署。,We took solid steps to implement the reform plans adopted at the third plenary session of the 20th CPC Central Committee.,1,1,1-1,0.358,18,21,1.1667,False,,无需自动清洗 | 无需自动清洗,扎实落实党的二十届三中全会改革部署。,We took solid steps to implement the reform plans adopted at the third plenary session of the 20th CPC Central Committee.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,11,3,33,实施全国统一大市场建设指引，出台新版市场准入负面清单，系统整治招标投标、招商引资领域突出问题，推进重点行业产能治理，综合整治“内卷式”竞争成效显现。,"We implemented the guidelines on developing a unified national market, issued an updated negative list for market access, and systematically addressed prominent problems in the areas of public bidding and investment attraction. We pushed ahead with production capacity regulation in key industries and achieved notable progress in addressing rat race competition through holistic measures.",1,2,1-2,0.2613,74,54,0.7297,False,,无需自动清洗 | 无需自动清洗,实施全国统一大市场建设指引，出台新版市场准入负面清单，系统整治招标投标、招商引资领域突出问题，推进重点行业产能治理，综合整治“内卷式”竞争成效显现。,"We implemented the guidelines on developing a unified national market, issued an updated negative list for market access, and systematically addressed prominent problems in the areas of public bidding and investment attraction. We pushed ahead with production capacity regulation in key industries and achieved notable progress in addressing rat race competition through holistic measures.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,11,4,34,开展要素市场化配置综合改革试点。,Comprehensive reform trials were carried out to promote market-based allocation of production factors.,1,1,1-1,0.0038,16,13,0.8125,False,,无需自动清洗 | 无需自动清洗,开展要素市场化配置综合改革试点。,Comprehensive reform trials were carried out to promote market-based allocation of production factors.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,11,5,35,国有企业改革深化提升行动取得积极成效，出台进一步促进民间投资发展的措施。加快加力清理拖欠企业账款。,"Initiatives to deepen and upgrade the reform of state-owned enterprises (SOEs) yielded positive results, and we rolled out measures to further boost private investment. We worked faster and redoubled efforts to see that overdue payments owed to enterprises were settled.",2,2,2-2,0.3009,49,40,0.8163,False,,无需自动清洗 | 无需自动清洗,国有企业改革深化提升行动取得积极成效，出台进一步促进民间投资发展的措施。加快加力清理拖欠企业账款。,"Initiatives to deepen and upgrade the reform of state-owned enterprises (SOEs) yielded positive results, and we rolled out measures to further boost private investment. We worked faster and redoubled efforts to see that overdue payments owed to enterprises were settled.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,11,6,36,有序推进自主开放、单边开放，稳步扩大单方面免签或全面互免签证。,"We took the initiative to open China wider and advanced unilateral opening up in a well-ordered way, steadily expanding both unilateral visa-free entry policies and comprehensive mutual visa exemptions.",1,1,1-1,0.1371,31,29,0.9355,False,,无需自动清洗 | 无需自动清洗,有序推进自主开放、单边开放，稳步扩大单方面免签或全面互免签证。,"We took the initiative to open China wider and advanced unilateral opening up in a well-ordered way, steadily expanding both unilateral visa-free entry policies and comprehensive mutual visa exemptions.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,11,7,37,加大稳外贸力度，进出口量稳质升，出口增长6.1%。,"Greater efforts were made to maintain stable performance of foreign trade, ensuring both stable volume and higher quality. Exports for the year grew by 6.1 percent.",1,2,1-2,0.3538,25,25,1.0,False,,无需自动清洗 | 无需自动清洗,加大稳外贸力度，进出口量稳质升，出口增长6.1%。,"Greater efforts were made to maintain stable performance of foreign trade, ensuring both stable volume and higher quality. Exports for the year grew by 6.1 percent.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,11,8,38,出台稳外资行动方案，新设外资企业数量增长19.1%。,"Thanks to a new initiative launched to keep foreign investment stable, we saw a 19.1-percent increase in the number of newly-established foreign-funded enterprises.",1,1,1-1,0.0812,26,23,0.8846,False,,无需自动清洗 | 无需自动清洗,出台稳外资行动方案，新设外资企业数量增长19.1%。,"Thanks to a new initiative launched to keep foreign investment stable, we saw a 19.1-percent increase in the number of newly-established foreign-funded enterprises.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,11,9,39,实施自由贸易试验区提升战略，海南自由贸易港启动全岛封关运作。,"The strategy to upgrade pilot free trade zones was implemented, and island-wide special customs operations were launched in the Hainan Free Trade Port.",1,1,1-1,0.0619,30,23,0.7667,False,,无需自动清洗 | 无需自动清洗,实施自由贸易试验区提升战略，海南自由贸易港启动全岛封关运作。,"The strategy to upgrade pilot free trade zones was implemented, and island-wide special customs operations were launched in the Hainan Free Trade Port.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,11,10,40,扎实推进高质量共建“一带一路”，各领域务实合作水平不断提升。,"Solid steps were taken to advance high-quality Belt and Road cooperation, further boosting practical cooperation in various fields.",1,1,1-1,0.307,30,18,0.6,False,,无需自动清洗 | 无需自动清洗,扎实推进高质量共建“一带一路”，各领域务实合作水平不断提升。,"Solid steps were taken to advance high-quality Belt and Road cooperation, further boosting practical cooperation in various fields.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,12,1,41,四是统筹推进新型城镇化和乡村全面振兴，促进城乡区域协调发展。,4. We moved forward with both new urbanization and all-around rural revitalization and promoted coordinated development between urban and rural areas and between different regions.,1,2,1-2,0.1512,30,24,0.8,False,,无需自动清洗 | 无需自动清洗,四是统筹推进新型城镇化和乡村全面振兴，促进城乡区域协调发展。,4. We moved forward with both new urbanization and all-around rural revitalization and promoted coordinated development between urban and rural areas and between different regions.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,12,2,42,贯彻中央城市工作会议部署，培育发展现代化都市圈，加强城市规划建设治理，持续实施城市更新，落实好农业转移人口市民化政策，开展新型城镇化试点，常住人口城镇化率达到67.9%。,"In implementing the plans set out at last year's Central Urban Work Conference, we fostered modern metropolitan areas, bolstered urban planning, development, and governance, steadily advanced urban renewal, put into full effect policies on granting permanent urban residency to people moving to cities from rural areas, and piloted initiatives on new urbanization. As a result, the share of permanent urban residents in the total population rose to 67.9 percent.",1,2,1-2,0.1512,85,68,0.8,False,,无需自动清洗 | 无需自动清洗,贯彻中央城市工作会议部署，培育发展现代化都市圈，加强城市规划建设治理，持续实施城市更新，落实好农业转移人口市民化政策，开展新型城镇化试点，常住人口城镇化率达到67.9%。,"In implementing the plans set out at last year's Central Urban Work Conference, we fostered modern metropolitan areas, bolstered urban planning, development, and governance, steadily advanced urban renewal, put into full effect policies on granting permanent urban residency to people moving to cities from rural areas, and piloted initiatives on new urbanization. As a result, the share of permanent urban residents in the total population rose to 67.9 percent.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,12,3,43,着力稳面积、提单产、抗灾害，再夺粮食丰收。,"Efforts to keep total grain acreage stable, boost per-unit crop yields, and protect against disasters helped secure yet another bumper harvest.",1,1,1-1,0.2219,21,21,1.0,False,,无需自动清洗 | 无需自动清洗,着力稳面积、提单产、抗灾害，再夺粮食丰收。,"Efforts to keep total grain acreage stable, boost per-unit crop yields, and protect against disasters helped secure yet another bumper harvest.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,12,4,44,扎实做好巩固拓展脱贫攻坚成果同乡村振兴有效衔接，脱贫人口务工就业规模稳定在3000万人以上。,We took concrete steps to ensure that efforts to consolidate and expand poverty alleviation gains were well aligned with those to boost rural revitalization. The number of employed people among those lifted out of poverty remained at over 30 million.,1,2,1-2,0.2069,46,39,0.8478,False,,无需自动清洗 | 无需自动清洗,扎实做好巩固拓展脱贫攻坚成果同乡村振兴有效衔接，脱贫人口务工就业规模稳定在3000万人以上。,We took concrete steps to ensure that efforts to consolidate and expand poverty alleviation gains were well aligned with those to boost rural revitalization. The number of employed people among those lifted out of poverty remained at over 30 million.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,12,5,45,加大区域战略实施力度，区域联动发展水平不断提升。,We intensified implementation of regional strategies and enhanced interconnected development among different regions.,1,1,1-1,0.3912,24,13,0.5417,False,,无需自动清洗 | 无需自动清洗,加大区域战略实施力度，区域联动发展水平不断提升。,We intensified implementation of regional strategies and enhanced interconnected development among different regions.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,13,1,46,五是切实抓好民生保障，积极发展社会事业。,5. We ensured the people's wellbeing and actively developed social programs.,1,2,1-2,0.4928,20,10,0.5,False,,无需自动清洗 | 无需自动清洗,五是切实抓好民生保障，积极发展社会事业。,5. We ensured the people's wellbeing and actively developed social programs.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,13,2,47,出台稳就业支持政策，开展大规模职业技能提升培训行动，重点群体就业保持稳定。,"We adopted new supportive policies to stabilize employment, carried out large-scale training programs to upgrade vocational skills, and ensured stable employment for key groups.",1,1,1-1,0.0825,37,24,0.6486,False,,无需自动清洗 | 无需自动清洗,出台稳就业支持政策，开展大规模职业技能提升培训行动，重点群体就业保持稳定。,"We adopted new supportive policies to stabilize employment, carried out large-scale training programs to upgrade vocational skills, and ensured stable employment for key groups.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,13,3,48,推进教育强国建设三年行动计划，推动高校学科专业调整，加强县域普通高中建设。,"We advanced the three-year action plan for boosting China's strength in education, moved ahead with adjustments to academic disciplines and majors in universities, and enhanced the development of county-level regular high schools.",1,1,1-1,0.2052,37,32,0.8649,False,,无需自动清洗 | 无需自动清洗,推进教育强国建设三年行动计划，推动高校学科专业调整，加强县域普通高中建设。,"We advanced the three-year action plan for boosting China's strength in education, moved ahead with adjustments to academic disciplines and majors in universities, and enhanced the development of county-level regular high schools.",无需自动清洗,无需自动清洗
